name,likes_count
Ahmednasir Abdullahi SC,113612.0
Collins KIPTOOğŸŒ,1013.0
"Cyprian, Is Nyakundi",7353.0
"DP William Ruto, PhD (FanPage)",1067.0
Donald B Kipkorir,6285.0
Edwin Sifuna,4255.0
Enock Mutai,987.0
Fred Kay,1481.0
General Muias HSC,955.0
JakoyugiğŸ‡°ğŸ‡ªğŸ‡ºğŸ‡¸,1545.0
KBC Channel1 News,1245.0
Kabando Wa Kabando,933.0
Kenneth Muriithi,1515.0
Linus Kaikai,3469.0
MUGAMBI AMATHI,984.0
Millicent Omanga,2391.0
Mutahi Ngunyi,1143.0
Nation Breaking News,1723.0
Odero Oderoâ™š,2506.0
Rigathi Gachagua,1288.0
Rono GK(Man Like Rono),2582.0
Ronoh Cornelius (Kipchumba).,940.0
Sen. Susan Kihika,2515.0
Silvia Wangeci â,2810.0
Steve Ogolla,2099.0
Team WILLIAM RUTO,1710.0
TheStarKenya,2130.0
Tiffany Chepkemoi,3569.0
waikwa wanyoike,4641.0
ğ˜¾ğ™†,2258.0
